"IFC Region","Country","Number of enterprises","IFC Cumulative Commitments (US$ Thousands)","Loan & Guarantee participations Cumulative Commitments (US$ Thousands)","TOTAL","Fiscal Year","As of Date"
"Europe and Central Asia","Azerbaijan",27,597629.4,197930,795559.4,"FY21","06/30/2021"
"Europe and Central Asia","Belarus",21,805073,18000,823073,"FY21","06/30/2021"
"Europe and Central Asia","Bosnia and Herzegovina",33,358576.43,10577.55,369153.98,"FY21","06/30/2021"
"Europe and Central Asia","Bulgaria",31,1045467.65,183646.71,1229114.37,"FY21","06/30/2021"
"Europe and Central Asia","Croatia",22,866066.22,228199.03,1094265.25,"FY21","06/30/2021"
"Europe and Central Asia","Czech Republic",18,455175.92,245587.93,700763.84,"FY21","06/30/2021"
"Europe and Central Asia","Estonia",11,137806.09,11854.97,149661.07,"FY21","06/30/2021"
"Europe and Central Asia","Georgia",32,1175671.41,49825.25,1225496.66,"FY21","06/30/2021"
"Europe and Central Asia","Greece",16,1005702.48,40131.25,1045833.73,"FY21","06/30/2021"
"Europe and Central Asia","Hungary",34,437985.38,70334.83,508320.21,"FY21","06/30/2021"
"Europe and Central Asia","Kazakhstan",38,1637879.25,282916.67,1920795.92,"FY21","06/30/2021"
"Europe and Central Asia","Kosovo",10,65414.62,0,65414.62,"FY21","06/30/2021"
"Europe and Central Asia","Kyrgyz Republic",17,141026.17,0,141026.17,"FY21","06/30/2021"
"Europe and Central Asia","Latvia",7,80966.79,35000,115966.79,"FY21","06/30/2021"
"Europe and Central Asia","Lithuania",11,95040.95,9309,104349.95,"FY21","06/30/2021"
"Europe and Central Asia","Moldova",18,263322.94,45000,308322.94,"FY21","06/30/2021"
"Europe and Central Asia","Montenegro",7,100202.85,0,100202.85,"FY21","06/30/2021"
"Europe and Central Asia","North Macedonia",17,304463.16,25000,329463.16,"FY21","06/30/2021"
"Europe and Central Asia","Poland",53,886263.21,115316.83,1001580.05,"FY21","06/30/2021"
"Europe and Central Asia","Romania",62,3737758.17,570526.97,4308285.14,"FY21","06/30/2021"
"Europe and Central Asia","Russian Federation",194,8797461.07,2523371.96,11320833.03,"FY21","06/30/2021"
"Europe and Central Asia","Serbia",44,1858098.46,369723.36,2227821.82,"FY21","06/30/2021"
"Europe and Central Asia","Slovak Republic",7,115543.69,0,115543.69,"FY21","06/30/2021"
"Europe and Central Asia","Slovenia",13,292535.47,47382.71,339918.18,"FY21","06/30/2021"
"Europe and Central Asia","Tajikistan",22,154967.96,0,154967.96,"FY21","06/30/2021"
"Europe and Central Asia","Turkey",221,17128540.36,3873862.15,21002402.52,"FY21","06/30/2021"
"Europe and Central Asia","Turkmenistan",1,35000,0,35000,"FY21","06/30/2021"
"Europe and Central Asia","Ukraine",61,3013843.1,948077,3961920.1,"FY21","06/30/2021"
"Europe and Central Asia","Uzbekistan",26,338379,12900,351279,"FY21","06/30/2021"
"Europe and Central Asia","Regional Investments: Europe and Central Asia",65,3813033.8,200880.02,4013913.82,"FY21","06/30/2021"
"Latin America and the Caribbean","Antigua and Barbuda",1,30000,0,30000,"FY21","06/30/2021"
"Latin America and the Caribbean","Argentina",213,8298470.29,5996842.69,14295312.98,"FY21","06/30/2021"
"Latin America and the Caribbean","Barbados",6,28625.08,0,28625.08,"FY21","06/30/2021"
"Latin America and the Caribbean","Belize",4,33066.33,11000,44066.33,"FY21","06/30/2021"
"Latin America and the Caribbean","Bolivia",33,595152.61,155500,750652.61,"FY21","06/30/2021"
"Latin America and the Caribbean","Brazil",321,21571542.74,8705836.46,30277379.2,"FY21","06/30/2021"
"Latin America and the Caribbean","Chile",76,2837298.84,1422604.66,4259903.5,"FY21","06/30/2021"
"Latin America and the Caribbean","Colombia",153,5135162.31,1420597.69,6555760,"FY21","06/30/2021"
"Latin America and the Caribbean","Costa Rica",36,1781197.03,99708.82,1880905.85,"FY21","06/30/2021"
"Latin America and the Caribbean","Dominica",1,700,0,700,"FY21","06/30/2021"
"Latin America and the Caribbean","Dominican Republic",39,963822.5,241850,1205672.5,"FY21","06/30/2021"
"Latin America and the Caribbean","Ecuador",28,1374876.34,169740.06,1544616.4,"FY21","06/30/2021"
"Latin America and the Caribbean","El Salvador",22,1697828.99,186000,1883828.99,"FY21","06/30/2021"
"Latin America and the Caribbean","Grenada",2,8000,0,8000,"FY21","06/30/2021"
"Latin America and the Caribbean","Guatemala",32,2492097.85,230000,2722097.85,"FY21","06/30/2021"
"Latin America and the Caribbean","Guyana",8,76416.96,0,76416.96,"FY21","06/30/2021"
"Latin America and the Caribbean","Haiti",16,145692.08,26000,171692.08,"FY21","06/30/2021"
"Latin America and the Caribbean","Honduras",28,1940432.39,142900.75,2083333.14,"FY21","06/30/2021"
"Latin America and the Caribbean","Jamaica",25,557845.6,194244.48,752090.09,"FY21","06/30/2021"
"Latin America and the Caribbean","Mexico",248,9066370.34,2958548.82,12024919.16,"FY21","06/30/2021"
"Latin America and the Caribbean","Nicaragua",28,1463785.98,163728.57,1627514.55,"FY21","06/30/2021"
"Latin America and the Caribbean","Panama",38,2671190.4,153300,2824490.4,"FY21","06/30/2021"
"Latin America and the Caribbean","Paraguay",19,1729079.36,28000,1757079.36,"FY21","06/30/2021"
"Latin America and the Caribbean","Peru",84,2606620.48,977099.31,3583719.79,"FY21","06/30/2021"
"Latin America and the Caribbean","St. Lucia",5,80421.91,35000,115421.91,"FY21","06/30/2021"
"Latin America and the Caribbean","Suriname",1,4065.88,0,4065.88,"FY21","06/30/2021"
"Latin America and the Caribbean","Trinidad and Tobago",19,433653.74,235000,668653.74,"FY21","06/30/2021"
"Latin America and the Caribbean","Uruguay",20,408634.4,120000,528634.4,"FY21","06/30/2021"
"Latin America and the Caribbean","Venezuela, Republica Bolivariana de",39,897229.54,703791.42,1601020.96,"FY21","06/30/2021"
"Latin America and the Caribbean","Regional Investments: Latin America and the Caribbean",95,2646229.11,350000,2996229.11,"FY21","06/30/2021"
"Middle East and North Africa","Algeria",15,303557.27,5556.9,309114.17,"FY21","06/30/2021"
"Middle East and North Africa","Bahrain",2,340271.16,0,340271.16,"FY21","06/30/2021"
"Middle East and North Africa","Egypt, Arab Republic of",134,4643810.7,1027389.26,5671199.96,"FY21","06/30/2021"
"Middle East and North Africa","Iran, Islamic Republic of",11,63342.91,8199.46,71542.37,"FY21","06/30/2021"
"Middle East and North Africa","Iraq",17,1133059.87,436713.55,1569773.42,"FY21","06/30/2021"
"Middle East and North Africa","Jordan",71,2192144.78,707490.27,2899635.05,"FY21","06/30/2021"
"Middle East and North Africa","Lebanon",43,6323413.24,230430,6553843.24,"FY21","06/30/2021"
"Middle East and North Africa","Morocco",53,1373681.54,526933.54,1900615.09,"FY21","06/30/2021"
"Middle East and North Africa","Oman",7,319853.4,57000,376853.4,"FY21","06/30/2021"
"Middle East and North Africa","Saudi Arabia",13,651276.71,0,651276.71,"FY21","06/30/2021"
"Middle East and North Africa","Syrian Arab Republic",4,24731.6,0,24731.6,"FY21","06/30/2021"
"Middle East and North Africa","Tunisia",36,622189.6,427227.8,1049417.4,"FY21","06/30/2021"
"Middle East and North Africa","United Arab Emirates",17,428177.61,30000,458177.61,"FY21","06/30/2021"
"Middle East and North Africa","Yemen, Republic of",15,261004.2,76104.66,337108.86,"FY21","06/30/2021"
"Middle East and North Africa","Regional Investments: Middle East and North Africa",41,1575134.76,3000,1578134.76,"FY21","06/30/2021"
"Worldwide","Australia",2,975,0,975,"FY21","06/30/2021"
"Worldwide","Cyprus",8,32181.47,645.25,32826.72,"FY21","06/30/2021"
"Worldwide","Finland",4,1233.13,1914.51,3147.64,"FY21","06/30/2021"
"Worldwide","Israel",1,10500,0,10500,"FY21","06/30/2021"
"Worldwide","Italy",1,960,0,960,"FY21","06/30/2021"
"Worldwide","Portugal",7,51811.13,11000,62811.13,"FY21","06/30/2021"
"Worldwide","Spain",5,19042.51,1685,20727.51,"FY21","06/30/2021"
"Worldwide","Regional Investments: Worldwide",198,21184164.93,526234.13,21710399.06,"FY21","06/30/2021"
"Worldwide","Other2",34,772049.18,11400,783449.18,"FY21","06/30/2021"
